DATETIME,BNB,BTC,ETH,USDC,USDT
20221211-022001,288.75704514,17160.61312889,1270.56447595,1.0000548,1.00005036
20221211-022501,288.75955881,17159.93920593,1270.8559789,1.00009288,1.00006209
20221211-023001,288.98774812,17159.93920593,1270.8559789,1.00009288,1.00006209
20221211-023501,288.98774812,17159.93920593,1270.8559789,1.00009288,1.00006209
20221211-024001,288.97617182,17154.38972245,1270.42085803,1.00007446,1.00005488
20221211-024501,288.97617182,17154.38972245,1270.42085803,1.00007446,1.00005488
20221211-025001,288.97617182,17154.38972245,1270.42085803,1.00007446,1.00005488
20221211-025501,288.97617182,17154.38972245,1270.42085803,1.00007446,1.00005488
20221211-030001,289.28524766,17160.88439381,1270.88951822,1.00008016,1.00007762
20221211-030501,289.28524766,17154.2997364,1270.76162622,1.00012293,1.0000524
20221211-031001,289.33041694,17154.2997364,1270.76162622,1.00012293,1.0000524
20221211-031501,289.33041694,17154.2997364,1270.76162622,1.00012293,1.0000524
20221211-032001,289.25216411,17153.37287999,1270.4092526,1.000032,1.0000632
20221211-032501,289.25216411,17157.63345893,1270.45803773,1.00013885,1.00005786
20221211-033001,289.25216411,17157.63345893,1270.45803773,1.00013885,1.00005786
20221211-033501,289.34537106,17161.30153118,1270.74843683,1.00004667,1.00003957
20221211-034001,289.34537106,17161.30153118,1270.74843683,1.00004667,1.00003957
20221211-034501,289.42589436,17170.1217069,1271.5931602,1.00007137,1.00006243
20221211-035001,289.87535094,17170.1217069,1271.5931602,1.00007137,1.00006243
20221211-035501,289.87535094,17170.26625576,1272.07908221,1.00011729,1.00006594
20221211-040001,290.50645711,17170.26625576,1271.5931602,1.00011729,1.00006594
20221211-040501,290.50645711,17170.26625576,1271.5931602,1.00011729,1.00006594
20221211-041001,290.61427299,17166.27874676,1272.42844786,1.00009793,1.00005994
20221211-041501,290.61427299,17165.12359889,1272.89287256,1.0000829,1.00005138
20221211-042001,290.61427299,17165.12359889,1272.89287256,1.0000829,1.00005138
20221211-042501,290.79253617,17167.86024125,1273.15167963,1.00003643,1.00004622
20221211-043001,290.67721702,17167.86024125,1273.15167963,1.00003643,1.00004622
20221211-043501,290.67721702,17167.86024125,1273.15167963,1.00003643,1.00004622
20221211-044001,290.42259043,17165.74319751,1272.79969758,0.99995177,1.00006317
20221211-044501,290.42259043,17165.74319751,1272.79969758,0.99995177,1.00006317
20221211-045001,290.39355221,17162.527487,1272.53504968,1.00005577,1.00006066
20221211-045501,290.4283752,17165.10559394,1272.69688169,1.00005208,1.0000603
20221211-050001,290.4283752,17165.10559394,1272.69688169,1.00005208,1.0000603
20221211-050501,290.4283752,17165.10559394,1272.69688169,1.00005208,1.0000603
20221211-051001,290.4236192,17171.87052267,1273.18564341,1.00001474,1.00007175
20221211-051501,290.4236192,17167.56258709,1272.9310679,1.00008976,1.00005322
20221211-052001,290.4236192,17167.56258709,1272.9310679,1.00008976,1.00005322
20221211-052501,290.29025128,17170.03350574,1273.89753884,1.00010437,1.00006633
20221211-053001,290.29025128,17170.03350574,1273.89753884,1.00010437,1.00006633
20221211-053501,290.32842893,17167.85162136,1273.63070527,1.00009422,1.00007233
20221211-054001,290.43108529,17167.85162136,1273.63070527,1.00009422,1.00007233
20221211-054501,290.43108529,17167.85162136,1273.63070527,1.00009422,1.00007233
20221211-055001,290.74858199,17186.69837293,1276.09884687,1.00011485,1.00006631
20221211-055501,290.74858199,17186.69837293,1276.09884687,1.00011485,1.00006631
20221211-060001,290.74858199,17186.69837293,1276.09884687,1.00011485,1.00006631
20221211-060501,290.74858199,17186.69837293,1276.09884687,1.00011485,1.00006631
20221211-061001,290.53004891,17175.39779448,1275.17665655,1.00001552,1.00006488
20221211-061501,290.53004891,17175.39779448,1275.17665655,1.00001552,1.00006488
20221211-062001,290.72820978,17188.88626488,1276.4215467,1.0000555,1.00006752
20221211-062501,290.72820978,17188.88626488,1276.4215467,1.0000555,1.00006752
20221211-063001,290.57209796,17185.79371181,1275.75317144,1.00005737,1.00006823
20221211-063501,290.57209796,17185.79371181,1275.75317144,1.00005737,1.00006823
20221211-064001,290.48761654,17183.5434323,1275.45972958,1.00006244,1.00005732
20221211-064501,290.48761654,17183.5434323,1275.45972958,1.00006244,1.00005732
